N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"66,100",200,-0.30%,100,"3,946,026","5,969,783",56.53,"23,006,486",20.68,8.69,
2,SK하이닉스,"98,700",700,+0.71%,"5,000","718,538","728,002",49.87,"4,175,686",31.43,4.25,
3,삼성바이오로직스,"773,000","15,000",+1.98%,"2,500","511,455","66,165",10.12,"152,664",148.91,4.77,
4,삼성전자우,"59,800","1,000",+1.70%,100,"492,086","822,887",86.29,"2,660,154",18.71,N/A,
5,LG화학,"684,000","7,000",+1.03%,"5,000","482,852","70,592",40.92,"243,683",117.91,1.84,
6,NAVER,"275,500","2,500",-0.90%,100,"452,546","164,263",55.65,"603,015",64.22,10.56,
7,셀트리온,"290,000","1,500",+0.52%,"1,000","391,494","134,998",20.52,"653,888",97.81,11.19,
8,현대차,"183,000","4,000",+2.23%,"5,000","391,013","213,668",30.65,"2,889,869",26.37,4.32,
9,삼성SDI,"490,500","5,000",+1.03%,"5,000","337,290","68,765",43.38,"296,311",180.20,2.94,
10,카카오,"362,500",500,+0.14%,500,"320,014","88,280",31.94,"345,365",-207.14,-5.81,
11,LG생활건강,"1,544,000","18,000",-1.15%,"5,000","241,145","15,618",45.77,"18,845",35.21,20.32,
12,기아차,"59,000",700,-1.17%,"5,000","239,164","405,363",38.35,"2,220,474",22.47,6.50,
13,현대모비스,"245,000",0,0.00%,"5,000","232,884","95,055",43.03,"272,879",13.35,7.28,
14,삼성물산,"124,500",500,+0.40%,100,"232,674","186,887",14.19,"561,759",21.75,4.77,
15,POSCO,"239,000",0,0.00%,"5,000","208,377","87,187",51.04,"213,347",22.72,4.18,
16,KB금융,"46,450",750,+1.64%,"5,000","193,143","415,808",65.83,"1,187,551",6.08,8.92,
17,SK텔레콤,"232,000",0,0.00%,500,"187,330","80,746",34.17,"217,871",19.04,3.92,
18,엔씨소프트,"792,000","8,000",-1.00%,500,"173,876","21,954",48.14,"76,395",33.36,14.72,
19,신한지주,"33,450",250,+0.75%,"5,000","172,778","516,527",57.90,"2,487,024",5.02,9.09,
20,SK,"219,500",500,+0.23%,200,"154,441","70,360",21.65,"287,453",-422.93,4.31,
21,SK이노베이션,"159,000","3,500",+2.25%,"5,000","147,020","92,466",23.95,"709,522",-6.51,-0.20,
22,삼성생명,"70,800","2,300",+3.36%,500,"141,600","200,000",12.38,"707,637",15.74,3.26,
23,LG전자,"85,600",900,-1.04%,"5,000","140,083","163,648",35.79,"597,509",34.35,0.22,
24,한국전력,"21,800",700,+3.32%,"5,000","139,948","641,964",16.86,"6,021,221",-15.19,-3.42,
25,삼성에스디에스,"175,000","1,500",-0.85%,500,"135,411","77,378",12.31,"152,071",25.98,11.76,
26,SK바이오팜,"166,500","1,500",-0.89%,500,"130,392","78,313",2.79,"105,657",-151.36,-313.66,
27,LG,"73,900",600,-0.81%,"5,000","127,520","172,557",34.71,"190,427",15.77,5.87,
28,KT&G,"85,500",700,+0.83%,"5,000","117,385","137,292",41.44,"332,438",11.43,12.39,
29,삼성전기,"153,000","1,000",-0.65%,"5,000","114,281","74,694",34.26,"495,880",47.09,10.18,
30,하나금융지주,"37,350",850,+2.33%,"5,000","112,140","300,242",64.83,"1,881,935",4.43,8.77,
31,아모레퍼시픽,"186,000","11,500",+6.59%,500,"108,733","58,458",30.00,"867,192",93.51,5.36,
32,넷마블,"126,500","1,000",+0.80%,100,"108,591","85,843",22.60,"246,714",52.34,3.54,
33,롯데케미칼,"275,500","3,000",+1.10%,"5,000","94,429","34,275",27.13,"246,446",52.57,5.51,
34,삼성화재,"193,000","2,500",-1.28%,500,"91,433","47,375",46.05,"103,289",14.75,4.85,
35,한화솔루션,"48,850",450,+0.93%,"5,000","78,094","159,864",19.01,"2,823,368",-47.15,-4.02,
36,S-Oil,"66,800",0,0.00%,"2,500","75,205","112,583",74.24,"768,857",-9.18,1.01,
37,현대글로비스,"193,500","6,500",+3.48%,500,"72,562","37,500",36.02,"271,100",13.18,11.25,
38,고려아연,"384,500","1,500",-0.39%,"5,000","72,555","18,870",23.90,"52,624",13.19,9.76,
39,우리금융지주,"9,960",70,+0.71%,"5,000","71,938","722,268",25.78,"1,397,832",5.26,N/A,
40,한온시스템,"13,450",100,-0.74%,100,"71,796","533,800",20.87,"681,931",43.11,14.98,
41,한국조선해양,"99,900","1,000",+1.01%,"5,000","70,702","70,773",15.90,"526,645",67.18,1.40,
42,신풍제약,"128,500","2,000",-1.53%,500,"68,086","52,985",10.02,"1,852,966","3,893.94",0.80,
43,기업은행,"9,140",10,-0.11%,"5,000","67,514","738,664",10.81,"1,982,460",4.38,7.36,
44,빅히트,"179,000","7,500",+4.37%,500,"63,767","35,624",3.42,"693,879",N/A,56.47,
45,미래에셋대우,"9,550",0,0.00%,"5,000","61,628","645,316",14.32,"2,103,746",11.37,7.56,
46,KT,"23,550",50,+0.21%,"5,000","61,492","261,112",43.62,"677,624",10.27,4.61,
47,KODEX 200,"34,115",120,+0.35%,0,"59,275","173,750",10.89,"6,303,431",N/A,N/A,
48,CJ제일제당,"364,500","2,500",-0.68%,"5,000","54,872","15,054",23.49,"41,130",9.18,3.16,
49,LG디스플레이,"14,950",0,0.00%,"5,000","53,493","357,816",22.46,"1,452,637",-1.84,-22.35,
50,코웨이,"72,400","2,200",-2.95%,500,"53,431","73,800",61.06,"203,507",15.22,30.74,
N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
51,LG유플러스,"11,400",50,-0.44%,"5,000","49,774","436,611",31.27,"1,253,366",9.96,6.30,
52,SK케미칼,"415,500","15,500",+3.88%,"5,000","48,786","11,741",14.16,"555,261",21.38,1.51,
53,포스코케미칼,"79,900",300,+0.38%,500,"48,730","60,988",7.30,"141,814",94.22,11.57,
54,강원랜드,"22,750",300,+1.34%,500,"48,671","213,940",23.59,"818,340",-239.47,9.16,
55,한진칼,"76,600","5,600",-6.81%,"2,500","45,325","59,171",17.30,"1,368,415",-11.79,-17.56,
56,오리온,"114,000","1,500",+1.33%,500,"45,071","39,536",42.39,"135,992",17.01,14.24,
57,이마트,"158,000","3,000",-1.86%,"5,000","44,044","27,876",32.15,"249,952",7.93,2.76,
58,현대제철,"32,750",350,-1.06%,"5,000","43,703","133,446",19.05,"876,161",-16.25,0.10,
59,대한항공,"25,050","1,900",-7.05%,"5,000","43,640","174,210",12.25,"25,411,195",-3.73,-22.09,
60,녹십자,"373,000","9,500",+2.61%,"5,000","43,591","11,687",19.31,"315,015",729.94,-0.35,
61,HMM,"13,150",950,-6.74%,"5,000","42,965","326,726",6.23,"15,103,155",-16.86,-55.46,
62,유한양행,"63,200",300,-0.47%,"1,000","42,254","66,857",20.94,"169,925",25.49,2.43,
63,한국금융지주,"75,600","1,600",-2.07%,"5,000","42,129","55,726",30.74,"460,592",7.15,18.14,
64,아모레G,"50,200","1,800",+3.72%,500,"41,394","82,458",19.62,"410,650",68.49,4.12,
65,한국타이어앤테크놀로지,"32,950",50,-0.15%,500,"40,817","123,875",37.87,"213,890",13.78,6.03,
66,금호석유,"133,500","4,500",-3.26%,"5,000","40,674","30,468",27.97,"390,430",15.27,11.84,
67,현대중공업지주,"256,000","1,500",-0.58%,"5,000","40,444","15,799",17.86,"35,270",-18.05,2.20,
68,두산중공업,"15,850",100,+0.63%,"5,000","40,123","253,141",9.30,"3,349,775",-3.39,-14.73,
69,삼성중공업,"6,230",130,-2.04%,"5,000","39,249","630,000",15.45,"9,260,074",-2.15,-21.88,
70,현대건설,"34,650","1,550",+4.68%,"5,000","38,585","111,356",20.01,"2,651,520",11.47,6.30,
71,맥쿼리인프라,"10,950",0,0.00%,0,"38,220","349,044",14.86,"467,636",N/A,N/A,
72,삼성카드,"32,250",150,-0.46%,"5,000","37,364","115,859",10.01,"131,976",9.97,5.04,
73,LG이노텍,"155,000","2,500",-1.59%,"5,000","36,684","23,667",35.20,"109,410",16.05,4.73,
74,CJ대한통운,"158,000","1,500",-0.94%,"5,000","36,044","22,812",22.11,"43,120",39.88,1.41,
75,롯데지주,"33,700",750,+2.28%,200,"35,354","104,909",11.38,"329,457",-5.08,-5.21,
76,한미사이언스,"53,500",200,-0.37%,500,"35,316","66,011",1.78,"113,611",124.71,4.73,
77,GS,"37,750",300,-0.79%,"5,000","35,076","92,915",20.15,"312,255",-31.22,6.26,
78,삼성증권,"38,750",500,+1.31%,"5,000","34,604","89,300",25.92,"632,211",10.63,8.15,
79,한미약품,"290,000","6,500",+2.29%,"2,500","34,345","11,843",13.98,"53,214",95.27,7.30,
80,DB손해보험,"45,750","1,050",-2.24%,500,"32,391","70,800",40.62,"174,795",5.98,6.92,
81,호텔신라,"80,900",200,+0.25%,"5,000","31,752","39,248",21.46,"731,420",-42.78,20.16,
82,두산밥캣,"31,650",500,-1.56%,500,"31,729","100,249",20.58,"162,815",17.33,7.05,
83,에스원,"83,100",300,-0.36%,500,"31,577","37,999",55.38,"48,820",21.35,11.32,
84,현대차2우B,"86,500",500,+0.58%,"5,000","31,560","36,485",60.36,"118,370",12.46,N/A,
85,NH투자증권,"11,050",150,+1.38%,"5,000","31,096","281,409",14.63,"1,608,737",7.23,9.12,
86,더존비즈온,"103,000",0,0.00%,500,"30,997","30,094",45.08,"39,902",64.29,18.78,
87,SKC,"81,300",200,+0.25%,"5,000","30,516","37,535",8.07,"148,445",29.46,3.86,
88,동서,"29,400",600,-2.00%,500,"29,312","99,700",5.25,"192,009",21.30,10.53,
89,대림산업,"82,700",400,-0.48%,"5,000","28,780","34,800",38.57,"205,317",4.38,11.74,
90,대우조선해양,"26,400",250,+0.96%,"5,000","28,325","107,291",9.05,"984,329",-30.45,-1.22,
91,롯데쇼핑,"99,300","2,600",+2.69%,"5,000","28,091","28,289",12.00,"183,636",-2.07,-8.14,
92,쌍용양회,"5,550",0,0.00%,"1,000","27,964","503,860",2.85,0,20.94,7.02,
93,휠라홀딩스,"45,050",650,+1.46%,"1,000","27,369","60,752",45.15,"456,618",13.63,23.81,
94,한국가스공사,"29,000",250,-0.85%,"5,000","26,771","92,313",8.91,"221,979",-5.99,0.48,
95,키움증권,"119,000","4,000",-3.25%,"5,000","26,346","22,139",25.47,"176,944",7.98,16.97,
96,GS리테일,"34,050",300,+0.89%,"1,000","26,218","77,000",14.42,"297,970",15.70,6.25,
97,LG화학우,"340,500","4,000",+1.19%,"5,000","26,180","7,689",58.93,"17,787",58.70,N/A,
98,GS건설,"31,600",100,+0.32%,"5,000","25,311","80,098",28.21,"328,279",6.63,11.79,
99,메리츠증권,"3,715",25,-0.67%,"1,000","25,112","675,962",12.82,"2,191,464",5.06,15.06,
100,삼성엔지니어링,"12,800",150,-1.16%,"5,000","25,088","196,000",26.96,"3,220,183",9.70,24.62,
